id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
10009791-auteur,41.0,67.0,80.0,Comedy,2
10009792-ball_don't_lie,64.0,20.0,102.0,Drama,2
10009799-caller,19.0,13.0,95.0,"Drama, Mystery & thriller",2
10009823-sin_nombre,89.0,88.0,96.0,"Mystery & thriller, Drama, Adventure",0
10009828-house_of_sleeping_beauties,17.0,28.0,99.0,Drama,2
10009872-eden,47.0,72.0,83.0,Drama,0
10009886-vice,16.0,29.0,98.0,Drama,2
10009890-stone_angel,58.0,44.0,115.0,Drama,2
10009926-alvin_and_the_chipmunks_2,49.0,21.0,89.0,"Kids & family, Comedy",2
10009929-a_christmas_tale,66.0,86.0,150.0,"Holiday, Comedy, Drama",1
10009941-garden_of_evil,53.0,86.0,100.0,Adventure,0
10009980-rebound,46.0,41.0,97.0,"Romance, Comedy",2
1000_rupee_note_2016,92.0,80.0,89.0,Drama,0
1000_times_good_night,65.0,71.0,117.0,"Drama, War",1
10010011-harold,41.0,31.0,94.0,Comedy,2
10010066-push,42.0,24.0,111.0,"Mystery & thriller, Action, Sci-fi",2
10010077-felon,82.0,63.0,104.0,Drama,0
10010084-wherever_you_are,100.0,63.0,91.0,"Comedy, Drama",0
10010090-la_luna,69.0,46.0,144.0,Drama,1
10010113-forgiveness,71.0,60.0,112.0,Drama,1
10010131-scar,11.0,0.0,78.0,Mystery & thriller,2
10010141-cass,64.0,53.0,108.0,"Biography, Crime, Drama",2
10010147-last_sunset,58.0,60.0,112.0,Western,2
10010150-unborn,30.0,9.0,88.0,"Horror, Mystery & thriller",2
10010153-bitch_slap,29.0,29.0,104.0,Action,2
10010155-forever_strong,75.0,29.0,112.0,Drama,2
10010208-chocolate,73.0,72.0,110.0,Action,0
10010214-fireproof,82.0,38.0,122.0,Drama,1
10010229-dostana,68.0,87.0,145.0,"Romance, Comedy",1
10010237-tokyo,72.0,76.0,112.0,Drama,0
10010249-the_garden,85.0,79.0,80.0,Documentary,0
10010329-splinter,49.0,76.0,82.0,Horror,0
10010331-ascent,91.0,100.0,111.0,"Drama, War",0
10010334-leaves_of_grass,49.0,61.0,104.0,"Comedy, Drama",2
10010335-rab_ne_bana_di_jodi,71.0,78.0,96.0,Drama,0
10010400-fraude_mexico_2006,50.0,80.0,110.0,Documentary,0
10010415-antarctica,36.0,50.0,110.0,"Romance, Comedy, Lgbtq+",2
10010458-proposal,68.0,45.0,108.0,"Romance, Comedy",2
10010505-market,77.0,83.0,93.0,Drama,0
10010518-who_do_you_love,67.0,38.0,92.0,"Drama, Biography",2
10010552-gigantic,34.0,35.0,99.0,"Romance, Comedy",2
1001056-anna,58.0,80.0,100.0,Drama,0
10010568-fuel,82.0,72.0,111.0,Documentary,1
10010571-hush,37.0,50.0,91.0,Mystery & thriller,2
10010610-summer,62.0,78.0,83.0,Drama,0
10010629-ice,70.0,80.0,132.0,Drama,1
1001063-anna_karenina,70.0,93.0,95.0,Drama,0
10010658-orphan,63.0,58.0,123.0,"Horror, Mystery & thriller",1
10010662-my_sisters_keeper,72.0,47.0,108.0,Drama,0
10010667-hangover,84.0,79.0,99.0,Comedy,0
10010668-stepfather,34.0,13.0,101.0,"Mystery & thriller, Horror",2
10010675-departures,92.0,80.0,130.0,Drama,1
10010680-boogie,67.0,100.0,102.0,"Comedy, Drama",0
10010682-hansel_and_gretel,70.0,75.0,117.0,"Fantasy, Horror, Mystery & thriller",1
10010694-season_of_the_witch,30.0,11.0,95.0,"Action, Adventure, Fantasy",2
10010703-shuttle,36.0,50.0,106.0,"Mystery & thriller, Drama",2
10010722-rumba,65.0,85.0,77.0,Comedy,0
10010760-miss_march,30.0,5.0,89.0,"Romance, Comedy",2
10010782-american_affair,41.0,16.0,93.0,"Drama, History",2
10010785-grace,31.0,71.0,94.0,"Horror, Comedy",2
10010787-endgame,58.0,71.0,109.0,Drama,0
10010789-red_baron,43.0,17.0,106.0,"Action, Adventure, History, Drama, War",2
10010919-objective,33.0,33.0,90.0,"Horror, Sci-fi, Mystery & thriller, War",2
10010932-memorial_day,50.0,9.0,94.0,Drama,2
10010940-happy_tears,22.0,29.0,96.0,Drama,2
10010944-missing_person,44.0,67.0,95.0,"Mystery & thriller, Drama",2
10010945_heart_of_fire,35.0,86.0,92.0,"Drama, War, Biography",0
10010957-polanski_unauthorized,38.0,0.0,89.0,"Drama, Biography",2
10010965-rage,40.0,38.0,99.0,Drama,2
10010972-mammoth,63.0,45.0,125.0,Drama,1
10011003-crude,85.0,95.0,104.0,Documentary,0
10011016-messenger,75.0,90.0,112.0,"Drama, Romance, War",0
10011050-lake_mungo,63.0,96.0,89.0,"Horror, Mystery & thriller",0
10011079-country_teacher,72.0,81.0,115.0,"Comedy, Drama, Lgbtq+",1
10011130-polytechnique,76.0,88.0,77.0,"History, Drama",0
1001115-apartment,94.0,93.0,125.0,"Comedy, Drama",1
10011154-golden_boys,22.0,28.0,97.0,"Romance, Comedy",2
1001117-ape,12.0,38.0,62.0,Horror,2
10011235-fame,36.0,24.0,107.0,"Drama, Musical",2
10011243-tormented,33.0,69.0,91.0,"Comedy, Horror",2
10011262-outrage,76.0,77.0,90.0,"Documentary, Lgbtq+",0
10011284-skin,79.0,86.0,107.0,Drama,0
10011295-samson_and_delilah,76.0,94.0,101.0,"Drama, Romance",0
10011303-helen,36.0,67.0,79.0,Drama,2
10011304-thirst,75.0,81.0,133.0,"Horror, Mystery & thriller",1
1001131-apple,48.0,27.0,91.0,Sci-fi,2
10011335-vengeance,60.0,91.0,108.0,"Action, Crime, Drama, Mystery & thriller",0
10011336-face,50.0,71.0,138.0,"Comedy, Drama",1
10011379-new_world_order,49.0,56.0,85.0,Documentary,2
1001138-april_fools_day,47.0,55.0,89.0,"Mystery & thriller, Horror",2
10011388-blood_the_last_vampire,33.0,25.0,89.0,"Action, Horror, Mystery & thriller",2
10011435-shrink,50.0,27.0,104.0,Drama,2
10011457-ong_bak_2_2009,53.0,49.0,97.0,Action,2
10011460-lonesome,83.0,71.0,69.0,"Comedy, Drama, Romance",0
10011489-bananas,45.0,86.0,87.0,Documentary,0
10011494-last_ride,65.0,93.0,100.0,Drama,0
10011553-surviving_crooked_lake,26.0,43.0,87.0,"Mystery & thriller, Adventure, Drama",2
10011582-tron_legacy,63.0,51.0,125.0,"Sci-fi, Action",1
10011587-rocksteady_the_roots_of_reggae,80.0,57.0,90.0,"Documentary, Music",0
10011647-canyon,32.0,29.0,102.0,Mystery & thriller,2
10011699-leslie_my_name_is_evil,27.0,67.0,85.0,"Comedy, Crime, Drama, Fantasy",2
10011721-broken_hill,60.0,50.0,102.0,"Drama, Music",2
10011735-beautiful_life,23.0,0.0,81.0,"Drama, Romance",2
10011736-suck,53.0,50.0,91.0,"Comedy, Horror",2
10011774-chloe,39.0,51.0,96.0,"Drama, Mystery & thriller, Romance",2
1001180-armed_and_dangerous,39.0,10.0,88.0,Comedy,2
10011846-nobodys_perfect,87.0,73.0,84.0,Documentary,0
10011854-good_soldier,82.0,75.0,79.0,Documentary,0
10011857-high_life,43.0,80.0,80.0,"Comedy, Crime, Drama",0
1001193-around_the_world_in_80_days,57.0,70.0,170.0,"Comedy, Drama",1
10011944-good_heart,58.0,30.0,98.0,Drama,2
10011946-wonderful_world,33.0,42.0,95.0,"Drama, Romance",2
10011947-love_hurts,31.0,29.0,95.0,"Romance, Comedy",2
10011949-collapse,83.0,83.0,80.0,Documentary,0
10011950-three_blind_mice,50.0,80.0,94.0,"Comedy, Drama",0
10011973-strip,22.0,19.0,91.0,Comedy,2
