id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
10008644-gunfighters,38.0,,87.0,Western,
10008652-closing_escrow,36.0,54.0,95.0,Comedy,2.0
10008653-hey_baby,67.0,,144.0,Comedy,
10008655-whiteout,21.0,7.0,101.0,Mystery & thriller,2.0
10008657-irezumi,78.0,,86.0,Drama,
10008660-price_of_sugar,77.0,74.0,90.0,Documentary,0.0
10008661-randy_and_the_mob,39.0,56.0,99.0,Comedy,2.0
10008667-black_irish,58.0,31.0,94.0,Drama,2.0
10008669-i'll_believe_you,21.0,,81.0,"Comedy, Sci-fi",
10008678-wild_child,61.0,41.0,98.0,Comedy,2.0
1000868-americano,17.0,,85.0,Western,
10008680-piccadilly_jim,50.0,,97.0,Comedy,
10008681-the_list,24.0,,107.0,Mystery & thriller,
10008685-birds_of_america,44.0,,84.0,"Comedy, Drama",
10008687-powder_blue,40.0,25.0,108.0,Drama,2.0
10008698-king_corn,78.0,96.0,90.0,Documentary,0.0
10008699-terrors_advocate,66.0,87.0,138.0,Documentary,1.0
10008700-darfur_now,73.0,73.0,99.0,Documentary,0.0
10008701-laaga_chunari_mein_daag,58.0,50.0,138.0,Drama,1.0
10008703-rails_and_ties,58.0,34.0,101.0,Drama,2.0
10008705-mr_untouchable,55.0,73.0,92.0,Documentary,0.0
10008706-house,27.0,0.0,88.0,"Mystery & thriller, Horror",2.0
10008708-o_jerusalem,60.0,35.0,102.0,Drama,2.0
10008709-4,59.0,,,,
10008710-hot_blood,43.0,86.0,85.0,"Comedy, Drama",0.0
10008731-zombie_diaries,21.0,,,Horror,
10008736-beauty_remains,62.0,50.0,87.0,Drama,2.0
10008742-my_sister_eileen,67.0,80.0,96.0,Comedy,0.0
10008743-ski_party,39.0,,90.0,"Musical, Comedy",
10008744-canvas,62.0,78.0,101.0,Drama,0.0
10008745-tough_enough,81.0,92.0,98.0,"Crime, Drama",0.0
10008746-good_man_is_hard_to_find,74.0,,90.0,Drama,
10008747-skid_row,55.0,83.0,80.0,Documentary,0.0
10008748-saawariya,46.0,38.0,146.0,"Drama, Romance",1.0
10008752-aaja_nachle,72.0,67.0,147.0,"Musical, Drama",1.0
10008754-flawless,54.0,55.0,106.0,"Crime, Drama",2.0
10008760-what_happens_in_vegas,37.0,25.0,99.0,"Romance, Comedy",2.0
10008785-appaloosa,55.0,76.0,116.0,"Western, Drama",1.0
10008804-fallen_heroes,0.0,,,,
10008820-visitor,84.0,90.0,103.0,Drama,0.0
10008830-bill,44.0,20.0,92.0,"Comedy, Drama",2.0
10008839-american_venus,21.0,,80.0,Drama,
10008849-married_life,36.0,54.0,90.0,"Crime, Drama, Romance",2.0
10008856-badland,54.0,16.0,165.0,Drama,1.0
10008864-shake_hands_with_the_devil,88.0,55.0,112.0,Drama,1.0
10008875-the_passage,44.0,,94.0,"Mystery & thriller, Drama",
10008882-callas_assoluta,,,97.0,Documentary,
10008917-chance,77.0,,75.0,"Comedy, Drama",
10008924-oxford_murders,33.0,17.0,110.0,"Mystery & thriller, Crime, Drama",2.0
10008934-legacy,53.0,56.0,78.0,"Drama, Mystery & thriller",2.0
10008935-secret,86.0,,101.0,"Drama, Romance",
